DSGS mitenand,DSGS mitenand manual,DSGS signer,SRF link,SRF title,LSF ensemble manual,LSF ensemble,LSF signer,RTS link,LSF SWISS TXT video file,RTS title,LIS insieme manual,LIS insieme,RSI link,RSI title,LIS signer
,,,,,2022-01-16_2202_iamaneh,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/au-senegal-les-jeunes-peuvent-suivre-des-cours-de-sexualite-soutenu-par-iamaneh?urn=urn:rts:video:14528450,2022-01-16_2202_iamaneh.mxf,"Au Sénégal, les jeunes peuvent suivre des cours de sexualité soutenu par Iamaneh",,,,,
,,,,,2022-01-30_2203_fondation_diamante,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/les-beneficiaires-de-lai-retrouvent-du-travail-au-restaurant-de-la-fondation-diamante?urn=urn:rts:video:14528442,2022-01-30_2203_fondation_diamante.mxf,Les bénéficiaires de l’AI retrouvent du travail au restaurant de la Fondation Diamante,,,,,
,,,,,2022-01-09_2205_association_des_petits,2024-02-15,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/aide-par-lassociation-des-petits-paysans-maurus-a-remis-son-domaine-a-thomas?urn=urn:rts:video:14704047,2022-01-09_2205_association_des_petits.mxf,"Aidé par l’Association des petits paysans, Maurus a remis son domaine à Thomas",,,,,
,,,,,2022-01-23_2206_aide_à_l'enfance,2024-03-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/laide-a-lenfance-emmaues-finance-des-cours-pour-les-familles-pauvres-a-bogota?urn=urn:rts:video:14748386,2022-01-23_2206_aide_à_l'enfance.mxf,L’Aide à l’enfance Emmaüs finance des cours pour les familles pauvres à Bogota,,,,,
,,,,,2022-02-27_2210_ficedula,,Adrien Pelletier,,2022-02-27_2210_ficedula.mxf,ENSEMBLE2210 - Ficedula avec LSF-2022-02-27,,,,,
,,,,,2022-03-20_2213_pattes_tendues,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/pattes-tendues-quand-les-chiens-aident-les-humains?urn=urn:rts:video:14528293,2022-03-20_2213_pattes_tendues.mxf,PATTES TENDUES - Quand les chiens aident les humains,,,,,
,,,,,2022-03-27_2214_planète_enfants_malades,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/planete-enfants-malades-rendre-a-lenfance-ce-qui-est-a-lenfance?urn=urn:rts:video:14528285,2022-03-27_2214_planète_enfants_malades.mxf,PLANETE ENFANTS MALADES - Rendre à l’enfance ce qui est à l’enfance,,,,,
,,,,,2022-05-22_2221_table_suisse,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/table-suisse-de-la-surabondance-au-manque?urn=urn:rts:video:14528373,2022-05-22_2221_table_suisse.mxf,TABLE SUISSE - De la surabondance au manque,,,,,
,,,,,2022-05-29_2222_equi-page,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/equi-page-reprendre-les-renes-de-sa-vie?urn=urn:rts:video:14528381,2022-05-29_2222_equi-page.mxf,EQUI-PAGE - Reprendre les rênes de sa vie,,,,,
,,,,,2022-06-19_2223_chaîne_du_bonheur,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/chaine-du-bonheur-refugiee-en-pologne-loin-de-la-guerre?urn=urn:rts:video:14528357,2022-06-19_2223_chaîne_du_bonheur.mxf,CHAINE DU BONHEUR - Réfugiée en Pologne loin de la guerre,,,,,
,,,,,2022-06-12_2224_caritas_brésil,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/caritas-bresil-soutien-aux-refugies-en-amazonie?urn=urn:rts:video:14528349,2022-06-12_2224_caritas_brésil.mxf,CARITAS BRESIL - Soutien aux réfugiés en Amazonie,,,,,
,,,,,2022-09-11_2236_dubarde,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/la-dubarde-mettre-les-mains-dans-la-terre-ensemble?urn=urn:rts:video:14528272,2022-09-11_2236_dubarde.mxf,"LA DUBARDE - Mettre les mains dans la terre, ensemble",,,,,
,,,,,2022-09-25_2241_just_for_smile,,Adrien Pelletier,,2022-09-25_2241_just_for_smile.mxf,ENSEMBLE2241 - Just for Smile - avec LSF - 25.9.22,,,,,
,,,,,2022-10-23_2242_aide_a_la,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/aide-suisse-a-la-montagne-des-botes-de-vacherin-100-vallee-de-joux?urn=urn:rts:video:14528494,2022-10-23_2242_aide_a_la.mxf,AIDE SUISSE À LA MONTAGNE - Des boîtes de Vacherin 100% Vallée de Joux,,,,,
,,,,,2022-02-10_par_les_dons,2022-02-10_par_les_dons,Marie Castella,,2021_04_05_2115_Chaine_du_Bonheur_Solidar_Suisse,,,,,,
,,,,,2022-02-10_mireille_keita_a,2022-02-10_mireille_keita_a,Marie Castella,,2021_04_18_2119_Farafina,Solidarite Afrique Farafina (Mali),,,,,
,,,,,2022-02-10_après_la_rémission,2022-02-10_après_la_rémission,Marie Castella,,2021_04_25_2120_Arfec,,,,,,
,,,,,2022-02-10_jenny_a_pu,2022-02-10_jenny_a_pu,Marie Castella,,2021_04_04_2121_Adra,,,,,,
,,,,,2022-02-10_la_fondation_quatre,2022-02-10_la_fondation_quatre,Marie Castella,,2021_04_11_2122_Fondation_Quatre_Pattes,,,,,,
,,,,,2022-02-10_frappée_professionnellement_par,2022-02-10_frappée_professionnellement_par,Adrien Pelletier,,,,,,,,
,,,,,2022-02-10_sammy_fait_ses,2022-02-10_sammy_fait_ses,Adrien Pelletier,,,"only wav, no mp4, no SL",,,,,
,,,,,2022-02-10_fribap_soutient_mario,2022-02-10_fribap_soutient_mario,Marie Castella,,2021_05_30_2127_Fribap,,,,,,
,,,,,2022-02-10_le_gammare_des,2022-02-10_le_gammare_des,Adrien Pelletier,,,,,,,,
,,,,,2022-02-10_rétropomme_part_à,2022-02-10_rétropomme_part_à,Adrien Pelletier,,,,,,,,
,,,,,2022-02-10_forom_écoute_rappelle,2022-02-10_forom_écoute_rappelle,Marie Castella,,2021_06_20_2131_Forom_Ecoute,,,,,,
,,,,,2022-02-10_pour_faire_découvrir,2022-02-10_pour_faire_découvrir,Adrien Pelletier,,,,,,,,
,,,,,2022-02-22_table_couvre-toi_redistribue,2022-02-22_table_couvre-toi_redistribue,Adrien Pelletier,,,,,,,,
,,,,,2022-02-10_la_chaîne_du,2022-02-10_la_chaîne_du,Marie Castella,,2021_05_24_2135_Chaine_du_bonheur_Gassenarbeit,,,,,,
,,,,,2022-02-24_les_cours_de,2022-02-24_les_cours_de,Marie Castella,,,,,,,,
,,,,,2022-05-03_une_classe_de,2022-05-03_une_classe_de,Marie Castella,,2021_09_12_2138_YES,YES – la startup des eleves d’Eglisau,,,,,
,,,,,2022-05-03_les_rives_du,2022-05-03_les_rives_du,Adrien Pelletier,,2021-09-19_2139_aqua_viva.mxf,Aqua Viva – les rives du Rhin rehabilitees,,,,,
,,,,,"2022-02-24_a_zanzibar,_magred","2022-02-24_a_zanzibar,_magred",Marie Castella,,2021_09_05_2140_CAAA,CAAA – Formation d’avenir a Zanzibar,,,,,
,,,,,2022-02-24_la_société_internationale,2022-02-24_la_société_internationale,Marie Castella,,2021_07_18_2142_Sils,Sauvetage International du Sauvetage du Leman (SISL); not SILS!,,,,,
,,,,,2022-02-24_lorsque_des_malvoyants,2022-02-24_lorsque_des_malvoyants,Adrien Pelletier,,2021_07_25_2143_Ecoute_voir,,,,,,
,,,,,2022-02-24_naîtr’étoile_met_en,2022-02-24_naîtr’étoile_met_en,Adrien Pelletier,,2021_08_22_2144_NaitrEtoile,,,,,,
,,,,,2022-02-24_trust_to_achieve,2022-02-24_trust_to_achieve,Adrien Pelletier,,2021_08_29_2145_Trust_To_Achieve,,,,,,
,,,,,"2022-05-06_au_sénégal,_le","2022-05-06_au_sénégal,_le",Adrien Pelletier,,2021_10_24_2146_SME.mov,,,,,,
,,,,,"2022-05-06_au_mexique,_apia","2022-05-06_au_mexique,_apia",Adrien Pelletier,,2021_12_05_2149_Apia_Mexico.mov,Apia – des jeunes handicapes soutenus au Mexique,,,,,
,,,,,2022-05-06_le_sourire_retrouvé,2022-05-06_le_sourire_retrouvé,Adrien Pelletier,,2021_11_14_2150_Cerebral_Suisse.mov,Cerebral Suisse – une chaise roulante pour la montagne,,,,,
,,,,,2022-05-03_la_ligue_suisse,2022-05-03_la_ligue_suisse,Adrien Pelletier,,2021_10_10_2152_Ligue_contre_le_cancer,,,,,,
,,,,,2022-05-06_melissa_et_enfants,2022-05-06_melissa_et_enfants,Adrien Pelletier,,2021_10_17_2153_Enfants_du_monde_El_Salvador.mov,Enfants du monde – Suivi des femmes enceintes au Salvador,,,,,
,,,,,2022-05-15_2154_biovision_ouganda,,Adrien Pelletier,,2022-05-15_2154_biovision_ouganda.mxf,ENSEMBLE2154 - Biovision Ouganda - avec LSF-2022-05-15,,,,,
,,,,,"2022-05-06_soutenue_par_plusport,","2022-05-06_soutenue_par_plusport,",Adrien Pelletier,,2021_11_07_2156_PluSport.mov,,,,,,
,,,,,2022-05-06_pour_se_détacher,2022-05-06_pour_se_détacher,Adrien Pelletier,,2021_11_21_2157_Croix_Bleue.mov,Croix Bleue romande – Cultiver les rencontres au Jardin Bleu,2022-03-12_croce_blu_-,2022-03-12_croce_blu_-,,Croce blu - Un Giardino Blu per sfuggire alla dipendenza da alcol - LIS,Angela Lunelio
,,,,,2022-05-06_pour_que_léa,2022-05-06_pour_que_léa,Adrien Pelletier,,2021_12_12_2159_Reves_Suisse.mov,,,,,,
,,,,,2021-12-19_2160_cardiologie.mxf,,Adrien Pelletier,,2021-12-19_2160_cardiologie.mxf,ENSEMBLE2160 - Cardiologie avec LSF-2021-12-19,,,,,
,,,,,2022-02-09_l’argent_récolté_par,2022-02-09_l’argent_récolté_par,Adrien Pelletier,,2021_01_01_Chaine_du_Bonheur_Medair,,,,,,
,,,,,2022-02-24_les_vélos_usagés,2022-02-24_les_vélos_usagés,Adrien Pelletier,,2021_01_03_Velafrica,,,,,,
,,,,,2022-02-09_pour_continuer_ses,2022-02-09_pour_continuer_ses,Adrien Pelletier,,2021_02_07_Synapsis,,,,,,
,,,,,2022-02-10_au_volant_de,2022-02-10_au_volant_de,Adrien Pelletier,,2021_03_07_Roadmovie,,,,,,
2023-08-07_mexiko_–_ausbildung,2023-08-07_mexiko_–_ausbildung,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/mexiko---ausbildung-traditioneller-hebammen?urn=urn:srf:video:85b85536-143a-41b3-9f1d-7fcad3f7a363,"Mexiko – Ausbildung traditioneller Hebammen (Staffel 2020, Folge 53; Erstausstrahlung 15. November 2020)",,2022-02-09_au_cœur_du,Adrien Pelletier,,2021_02_14_Pro_Indigena,,,,,,
,,,,,"2022-02-10_á_17ans,_sascha","2022-02-10_á_17ans,_sascha",Adrien Pelletier,,,,,,,,
,,,,,2022-02-10_l’émission_tv_de,2022-02-10_l’émission_tv_de,Adrien Pelletier,,2021_02_21_Albinfo,,,,,,
,,,,,2022-02-10_quand_albert_se,2022-02-10_quand_albert_se,Adrien Pelletier,,2021_03_21_Croix-Rouge_suisse,,,,,,
,,,,,2022-02-09_l’équipe_d’abfalltaucher_extrait,2022-02-09_l’équipe_d’abfalltaucher_extrait,Adrien Pelletier,,2021_01_24_Abfalltaucher,,,,,,
,,,,,2022-02-10_cristiano_le_policier,2022-02-10_cristiano_le_policier,Adrien Pelletier,,2022_02_28_Parkinson_Suisse,,,,,,
,,,,,,,,,,,,2023-10-14,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-parkinson-svizzera---lis?urn=urn:rsi:video:1899625,Associazione Parkinson Svizzera - LIS,Laura Sciuchetti
,,,,,"2022-02-24_a_samos,_adel","2022-02-24_a_samos,_adel",Adrien Pelletier,,2021_03_28_Project_Armonia,,,,,,
,,,,,2022-02-09_quand_luca_participe,2022-02-09_quand_luca_participe,Adrien Pelletier,,2021_01_31_Greenhope,,,,,,
,,,,,2022-02-09_après_l’accident_mortel,2022-02-09_après_l’accident_mortel,Adrien Pelletier,,,,,,,,
,,,,,2023-02-12_2308_push_your_limits,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/push-your-limits-du-sport-pour-toustes?urn=urn:rts:video:14528960,2023-02-12_2308_push_your_limits.mxf,PUSH YOUR LIMITS - Du sport pour toustes,,,,,
2024-01-18,2024-01-18,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/dank-sport-nach-einem-schicksalsschlag-zurueck-ins-leben?urn=urn:srf:video:3a0ab6d4-5619-4fc6-9163-5793bd13b6a2,Dank Sport nach einem Schicksalsschlag zurück ins Leben,2023-03-26_2312_tout_est_possible,2024-03-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/association-tout-est-possible-le-sport-pour-se-reconstruire?urn=urn:rts:video:14748283,2023-03-26_2312_tout_est_possible.mxf,ASSOCIATION TOUT EST POSSIBLE - Le sport pour se reconstruire,"2023-08-05_associazione_""tutto_è","2023-08-05_associazione_""tutto_è",https://www.rsi.ch/play/tv/insieme-lis/video/associazione-tutto-e-possibile-disabilita-e-sport-lis?urn=urn:rsi:video:16379749,"Associazione ""Tutto è possibile"", disabilità e sport - LIS",Paola Massa
,,,,,2023-04-23_2313_atelier_l'eveil,2023-04-23_2313_atelier_l'eveil,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/leveil-pas-a-pas-renouer-avec-la-vie?urn=urn:rts:video:14748291,2023-04-23_2313_atelier_l'eveil.mxf,"L'EVEIL - Pas à pas, renouer avec la vie",2023-09-09_associazione_l’eveil_-,2023-09-09_associazione_l’eveil_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-leveil-reinserimento-sociale-lis?urn=urn:rsi:video:1860250,Associazione L’Eveil - reinserimento sociale - LIS,Paola Massa
,,,,,2023-05-14_2319_espace_a,2024-03-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/espace-a-en-quete-de-ses-origines?urn=urn:rts:video:14748378,2023-05-14_2319_espace_a.mxf,ESPACE A - En quête de ses origines,,2023-10-07,https://www.rsi.ch/play/tv/insieme-lis/video/espace-a-per-il-benessere-dellinfanzia-lis?urn=urn:rsi:video:1867428,Espace A - Per il benessere dell’infanzia - LIS,Paola Massa
,,,,,2023-05-28_2321_les_nouveaux_commanditaires,,Adrien Pelletier,,2023-05-28_2321_les_nouveaux_commanditaires.mxf,ENSEMBLE2321 - Les nouveaux commanditaires-avec LSF-28.5.23,,2023-12-02,https://www.rsi.ch/play/tv/insieme-lis/video/les-nouveaux-commanditaires---i-nuovi-committenti-lis?urn=urn:rsi:video:1987279,Les Nouveaux Commanditaires – I Nuovi Committenti - LIS,Mikhail Akimov
,,,,,2023-06-25_2322_partage,,Azra Beslagic,,2023-06-25_2322_partage.mxf,ENSEMBLE2322 - Partage - avec LSF -25.6.23,,,,,
2023-11-09,,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/integration-und-gemeinschaftlichkeit-rund-ums-velo?urn=urn:srf:video:30b7e3f5-bb84-411b-9b71-ded993cb9deb,Integration und Gemeinschaftlichkeit rund ums Velo,2023-08-20_2325_recyclo,,Azra Beslagic,,2023-08-20_2325_recyclo.mxf,ENSEMBLE2325 - Recyclo- avec LSF-20.8.23,,2023-12-30,https://www.rsi.ch/play/tv/insieme-lis/video/recyclo-lis?urn=urn:rsi:video:2020770,reCYCLO - LIS,Laura Sciuchetti
,,,,,2023-06-11_2326_octopus,,Adrien Pelletier,,2023-06-11_2326_octopus.mxf,ENSEMBLE2326 - Octopus-avec LSF-11.6.23,,2023-10-21,https://www.rsi.ch/play/tv/insieme-lis/video/octopus-per-lesplorazione-marina---lis?urn=urn:rsi:video:1899620,"Octopus, per l’esplorazione marina - LIS",Laura Sciuchetti
,,,,,2244_maison_de_la,,Azra Beslagic,,2244_maison_de_la.mxf,ENSEMBLE2244 - Maison de la femme,,,,,
,,,,,2228_otium,,Azra Beslagic,,2228_otium.mxf,ENSEMBLE2228 - Otium,,,,,
,,,,,2023-08-27_2334_zoe4life,,Azra Beslagic,,2023-08-27_2334_zoe4life.mxf,ENSEMBLE2334 - Zoe4Life-avec LSF-27.8.23,,2023-12-16,https://www.rsi.ch/play/tv/insieme-lis/video/zoe4life-contro-il-cancro-infantile-lis?urn=urn:rsi:video:1987260,Zoé4Life - Contro il cancro infantile - LIS,Mikhail Akimov
,,,,,,,,,,ENSEMBLE2331 - ResSources,,2023-12-23,https://www.rsi.ch/play/tv/insieme-lis/video/ressources-per-una-catena-alimentare-solidale-lis?urn=urn:rsi:video:1987245,ResSources - Per una catena alimentare solidale - LIS,Mikhail Akimov
,,,,,,,,,,ENSEMBLE2333 - Plein accès,,2023-12-09,https://www.rsi.ch/play/tv/insieme-lis/video/plein-acces-pieno-accesso-lis?urn=urn:rsi:video:1987273,Plein Accès - Pieno Accesso - LIS,Mikhail Akimov
,,,,,2023-08-11_ukrainians_in_vaud,2023-08-11_ukrainians_in_vaud,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/ukrainians-in-vaud-des-cours-de-francais-a-la-decouverte-du-canton?urn=urn:rts:video:14233607,2022_06_26_2235_Ukrainians_in_Vaud,UKRAINIANS IN VAUD - Des cours de français à la découverte du canton,,,,,
2024-01-11,2024-01-11,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/unterstuetzung-von-frauen-bei-integration-in-der-schweiz?urn=urn:srf:video:2a8677c1-9b78-4a94-8b46-8af7008c6e37,Unterstützung von Frauen bei Integration in der Schweiz,,,,,,,,2023-11-01,https://www.rsi.ch/play/tv/insieme-lis/video/cooperativa-baobab---catena-della-solidarieta---lis?urn=urn:rsi:video:1899589,Cooperativa Baobab – Catena della Solidarietà - LIS,Laura Sciuchetti
,,,,,,,,,,,,2023-11-18,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-zeta-movement---lis?urn=urn:rsi:video:1987266,Associazione Zeta Movement - LIS,Mikhail Akimov
2024-01-25,2024-01-25,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/mehr-verstaendnis-fuer-fremde-kulturen?urn=urn:srf:video:91ef089f-a6a0-4ee5-bd6d-cede0ae86ed6,Mehr Verständnis für fremde Kulturen,,,,,,,,,,,
2024-02-01,2024-02-01,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/der-grosse-schritt-zum-selbststaendigen-wohnen?urn=urn:srf:video:c2aec9b4-51e7-43cb-a651-254c6d6b105f,Der grosse Schritt zum selbstständigen Wohnen,,,,,,,,,,,
2024-02-08,2024-02-08,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/eine-art-kita-fuer-erwachsene?urn=urn:srf:video:bbd765e7-79a8-453d-b2ce-e25093d4aaf9,Eine Art Kita für Erwachsene,,,,,,,,,,,
2024-04-11,2024-04-11,,,Unterstützung für frischgebackene Mütter,,,,,,,,2024-01-06,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-supermamme-lis?urn=urn:rsi:video:2021225,Associazione Supermamme - LIS,Laura Sciuchetti
,,,,,,,,,,,,2024-01-13,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-labarte---lis?urn=urn:rsi:video:2020778,Associazione LabArte - LIS,Laura Sciuchetti
,,,,,,,,,,,,2024-01-20,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-lane-di-qui-laines-dici-lis?urn=urn:rsi:video:2020773,Associazione Lane di qui (Laines d’ici) - LIS,Laura Sciuchetti
2024-02-15,2024-02-15,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/bildung-fuer-die-bahnhofskinder-von-jaipur?urn=urn:srf:video:9ebced84-feca-447f-9861-5ed0f6d2cc84,Bildung für die Bahnhofskinder von Jaipur,,,,,,,,2024-03-02,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-fxb-francois-xavier-bagnoud-lis?urn=urn:rsi:video:2048014,"Fondazione FXB, François-Xavier Bagnoud - LIS",Laura Sciuchetti
2024-02-22,2024-02-22,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/unterstuetzung-bei-der-trauerarbeit?urn=urn:srf:video:4ba5fdb9-e8f4-40d5-8dd4-adebb632a9f2,Unterstützung bei der Trauerarbeit,,2024-03-18,Azra Beslagic,https://www.rts.ch/play/tv/ensemble-signe/video/doulas-de-fin-de-vie-apprivoiser-la-mort?urn=urn:rts:video:14768124,,DOULAS DE FIN DE VIE - Apprivoiser la mort,,2024-02-17,https://www.rsi.ch/play/tv/insieme-lis/video/doule-di-fine-vita-lis?urn=urn:rsi:video:2048006,Doule di fine vita - LIS,Laura Sciuchetti
2024-02-29,2024-02-29,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/finanzielle-unterstuetzung-fuer-den-traum-vom-grossen-sport?urn=urn:srf:video:5b5252cb-6f28-43e4-9ca1-d7850e3d4768,Finanzielle Unterstützung für den Traum vom grossen Sport,,,,,,,,2024-02-24,https://www.rsi.ch/play/tv/insieme-lis/video/soccorso-svizzero-dinverno-lis?urn=urn:rsi:video:2048012,Soccorso svizzero d’inverno - LIS,Laura Sciuchetti
2024-03-07,2024-03-07,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/philippinen---essen-und-unterstuetzung-fuer-die-aermsten?urn=urn:srf:video:14ec8f84-dd93-4b51-9dda-aa88ab0948cf,Philippinen – Essen und Unterstützung für die Ärmsten,,,,,,,,,,,
2024-03-14,2024-03-14,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/mexiko---engagement-gegen-gewalt-und-willkuer?urn=urn:srf:video:e263c0f4-c604-41a2-a126-5b35e83f5fc1,Mexiko – Engagement gegen Gewalt und Willkür,,,,,,,,,,,
2024-03-21,2024-03-21,?,[not broadcasted yet],Hundetherapie bei familiärer Gewalt,,,,,,,,,,,
2024-03-28,2024-03-28,,,Ein neues Zuhause für misshandelte Hunde,,,,,,,,,,,
2024-04-04,2024-04-04,,,Hilfe für den Umgang mit der Lungenkrankheit,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,2024-02-10,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-frequenze-lis?urn=urn:rsi:video:2048008,Associazione Frequenze - LIS,Laura Sciuchetti
,,,,,,,,,,,,2024-03-09,https://www.rsi.ch/play/tv/insieme-lis/video/societa-svizzera-sclerosi-multipla---lis?urn=urn:rsi:video:2048010,Società svizzera sclerosi multipla - LIS,Laura Sciuchetti
,,,,,,,Sabrina Carlioz,,,ENSEMBLE2401 - Free Go,,,,,
,,,,,,,Sabrina Carlioz,,,ENSEMBLE2402 - Trait d'union avec LSF - 28.01.2024,,,,,
,,,,,,,,,,ENSEMBLE2406 - ParMi,,,,,
